player_name,avg_fastball_velo,total_pitches,fastball_count,fastball_pct,archetype,hits,strikeouts,outs,total_events,hit_rate,k_rate,out_minus_hit,run_prevention,out_rate,damage_rate
"Jarvis, Bryce",96.1,11,2.0,0.18181818181818182,Offspeed Heavy,4,1,6,11,0.36363636363636365,0.09090909090909091,2,0.18181818181818182,0.5454545454545454,0.36363636363636365
"Javier, Cristian",92.46000000000001,20,5.0,0.25,Offspeed Heavy,1,3,11,20,0.05,0.15,10,0.5,0.55,0.05
"Jax, Griffin",97.6,3,1.0,0.3333333333333333,Offspeed Heavy,0,1,2,3,0.0,0.3333333333333333,2,0.6666666666666666,0.6666666666666666,0.0
"Jiménez, Dany",92.0,6,1.0,0.16666666666666666,Offspeed Heavy,0,2,2,6,0.0,0.3333333333333333,2,0.3333333333333333,0.3333333333333333,0.0
"Jiménez, Joe",94.26666666666667,9,3.0,0.3333333333333333,Offspeed Heavy,1,3,5,9,0.1111111111111111,0.3333333333333333,4,0.4444444444444444,0.5555555555555556,0.1111111111111111
"Johnson, Pierce",93.7,14,1.0,0.07142857142857142,Offspeed Heavy,3,3,6,14,0.21428571428571427,0.21428571428571427,3,0.21428571428571427,0.42857142857142855,0.21428571428571427
"Jones, Jared",97.5090909090909,25,11.0,0.44,Offspeed Heavy,6,7,11,25,0.24,0.28,5,0.2,0.44,0.24
"Junis, Jakob",91.72,16,10.0,0.625,Balanced,3,4,8,16,0.1875,0.25,5,0.3125,0.5,0.1875
"Keller, Mitch",91.29411764705883,27,17.0,0.6296296296296297,Balanced,8,5,11,27,0.2962962962962963,0.18518518518518517,3,0.1111111111111111,0.4074074074074074,0.2962962962962963
"Kelly, Joe",97.88571428571429,11,7.0,0.6363636363636364,Power Fastball,3,5,3,11,0.2727272727272727,0.45454545454545453,0,0.0,0.2727272727272727,0.2727272727272727
"Kelly, Merrill",92.39999999999999,26,11.0,0.4230769230769231,Offspeed Heavy,5,4,15,26,0.19230769230769232,0.15384615384615385,10,0.38461538461538464,0.5769230769230769,0.19230769230769232
"Kelly, Michael",95.73333333333333,12,3.0,0.25,Offspeed Heavy,2,3,6,12,0.16666666666666666,0.25,4,0.3333333333333333,0.5,0.16666666666666666
"Kikuchi, Yusei",94.975,20,8.0,0.4,Offspeed Heavy,4,7,7,20,0.2,0.35,3,0.15,0.35,0.2
"Kimbrel, Craig",93.28333333333335,10,6.0,0.6,Balanced,1,5,4,10,0.1,0.5,3,0.3,0.4,0.1
"King, John",93.5,8,4.0,0.5,Balanced,2,2,3,8,0.25,0.25,1,0.125,0.375,0.25
"King, Michael",92.84545454545454,26,11.0,0.4230769230769231,Offspeed Heavy,4,4,17,26,0.15384615384615385,0.15384615384615385,13,0.5,0.6538461538461539,0.15384615384615385
"Kinley, Tyler",94.37777777777778,15,9.0,0.6,Balanced,7,2,4,15,0.4666666666666667,0.13333333333333333,-3,-0.2,0.26666666666666666,0.4666666666666667
"Kirby, George",94.24545454545455,23,11.0,0.4782608695652174,Balanced,10,2,10,23,0.43478260869565216,0.08695652173913043,0,0.0,0.43478260869565216,0.43478260869565216
"Kittredge, Andrew",94.80000000000001,7,2.0,0.2857142857142857,Offspeed Heavy,2,2,3,7,0.2857142857142857,0.2857142857142857,1,0.14285714285714285,0.42857142857142855,0.2857142857142857
"Kolek, Stephen",93.7,14,11.0,0.7857142857142857,Balanced,2,4,5,14,0.14285714285714285,0.2857142857142857,3,0.21428571428571427,0.35714285714285715,0.14285714285714285
"Kopech, Michael",98.2090909090909,14,11.0,0.7857142857142857,Power Fastball,3,4,3,14,0.21428571428571427,0.2857142857142857,0,0.0,0.21428571428571427,0.21428571428571427
"Kremer, Dean",90.63793103448276,48,29.0,0.6041666666666666,Balanced,8,11,25,48,0.16666666666666666,0.22916666666666666,17,0.3541666666666667,0.5208333333333334,0.16666666666666666
"Lambert, Peter",94.7,19,7.0,0.3684210526315789,Offspeed Heavy,7,4,6,19,0.3684210526315789,0.21052631578947367,-1,-0.05263157894736842,0.3157894736842105,0.3684210526315789
"Lamet, Dinelson",93.33333333333333,17,9.0,0.5294117647058824,Balanced,2,3,10,17,0.11764705882352941,0.17647058823529413,8,0.47058823529411764,0.5882352941176471,0.11764705882352941
"Lange, Alex",96.0,10,1.0,0.1,Offspeed Heavy,3,3,3,10,0.3,0.3,0,0.0,0.3,0.3
"Latz, Jacob",95.07272727272726,15,11.0,0.7333333333333333,Power Fastball,1,3,8,15,0.06666666666666667,0.2,7,0.4666666666666667,0.5333333333333333,0.06666666666666667
"Law, Derek",92.30714285714285,20,14.0,0.7,Balanced,7,0,11,20,0.35,0.0,4,0.2,0.55,0.35
"Lawrence, Justin",94.82857142857142,11,7.0,0.6363636363636364,Balanced,6,2,3,11,0.5454545454545454,0.18181818181818182,-3,-0.2727272727272727,0.2727272727272727,0.5454545454545454
"Leasure, Jordan",95.42,7,5.0,0.7142857142857143,Power Fastball,3,1,3,7,0.42857142857142855,0.14285714285714285,0,0.0,0.42857142857142855,0.42857142857142855
"Leclerc, José",93.08571428571429,12,7.0,0.5833333333333334,Balanced,4,1,6,12,0.3333333333333333,0.08333333333333333,2,0.16666666666666666,0.5,0.3333333333333333
"Lee, Dylan",90.7,14,3.0,0.21428571428571427,Offspeed Heavy,2,2,10,14,0.14285714285714285,0.14285714285714285,8,0.5714285714285714,0.7142857142857143,0.14285714285714285
"Leiter Jr., Mark",90.5375,14,8.0,0.5714285714285714,Balanced,2,4,5,14,0.14285714285714285,0.2857142857142857,3,0.21428571428571427,0.35714285714285715,0.14285714285714285
"Leone, Dominic",93.95,13,6.0,0.46153846153846156,Balanced,2,1,5,13,0.15384615384615385,0.07692307692307693,3,0.23076923076923078,0.38461538461538464,0.15384615384615385
"Liberatore, Matthew",93.8,9,6.0,0.6666666666666666,Balanced,2,1,6,9,0.2222222222222222,0.1111111111111111,4,0.4444444444444444,0.6666666666666666,0.2222222222222222
"Littell, Zack",93.21666666666665,20,6.0,0.3,Offspeed Heavy,5,5,10,20,0.25,0.25,5,0.25,0.5,0.25
"Little, Luke",97.55,9,8.0,0.8888888888888888,Power Fastball,0,2,5,9,0.0,0.2222222222222222,5,0.5555555555555556,0.5555555555555556,0.0
"Loáisiga, Jonathan",98.8,3,1.0,0.3333333333333333,Offspeed Heavy,0,1,2,3,0.0,0.3333333333333333,2,0.6666666666666666,0.6666666666666666,0.0
"Lugo, Seth",92.6,27,13.0,0.48148148148148145,Balanced,8,3,13,27,0.2962962962962963,0.1111111111111111,5,0.18518518518518517,0.48148148148148145,0.2962962962962963
"Luzardo, Jesús",96.05555555555556,19,9.0,0.47368421052631576,Balanced,4,4,9,19,0.21052631578947367,0.21052631578947367,5,0.2631578947368421,0.47368421052631576,0.21052631578947367
"Lyles, Jordan",90.85,4,4.0,1.0,Balanced,0,1,2,4,0.0,0.25,2,0.5,0.5,0.0
"Lynn, Lance",89.95217391304348,23,23.0,1.0,Balanced,8,7,7,23,0.34782608695652173,0.30434782608695654,-1,-0.043478260869565216,0.30434782608695654,0.34782608695652173
"López, Jorge",94.14,11,5.0,0.45454545454545453,Balanced,0,3,6,11,0.0,0.2727272727272727,6,0.5454545454545454,0.5454545454545454,0.0
"López, Pablo",94.6,24,8.0,0.3333333333333333,Offspeed Heavy,6,2,15,24,0.25,0.08333333333333333,9,0.375,0.625,0.25
"López, Reynaldo",94.8125,23,16.0,0.6956521739130435,Balanced,4,5,12,23,0.17391304347826086,0.21739130434782608,8,0.34782608695652173,0.5217391304347826,0.17391304347826086
"Maeda, Kenta",88.975,22,4.0,0.18181818181818182,Offspeed Heavy,2,2,13,22,0.09090909090909091,0.09090909090909091,11,0.5,0.5909090909090909,0.09090909090909091
"Manaea, Sean",92.26333333333334,41,30.0,0.7317073170731707,Balanced,4,14,17,41,0.0975609756097561,0.34146341463414637,13,0.3170731707317073,0.4146341463414634,0.0975609756097561
"Manning, Matt",93.06,21,10.0,0.47619047619047616,Balanced,0,3,14,21,0.0,0.14285714285714285,14,0.6666666666666666,0.6666666666666666,0.0
"Mantiply, Joe",88.76666666666667,13,6.0,0.46153846153846156,Balanced,1,2,9,13,0.07692307692307693,0.15384615384615385,8,0.6153846153846154,0.6923076923076923,0.07692307692307693
"Marsh, Alec",93.85925925925925,47,27.0,0.574468085106383,Balanced,10,8,27,47,0.2127659574468085,0.1702127659574468,17,0.3617021276595745,0.574468085106383,0.2127659574468085
"Marte, Yunior",95.38333333333333,12,6.0,0.5,Balanced,0,3,8,12,0.0,0.25,8,0.6666666666666666,0.6666666666666666,0.0
